chromosome,source,feature,start,end,score,strand,frame,attributes,line_number,gene_id
LR134336.1,EMBL,gene,63,1362,,+,,ID=gene-NCTC11427_00001;Name=dnaA;gbkey=Gene;gene=dnaA;gene_biotype=protein_coding;locus_tag=NCTC11427_00001,9,gene-NCTC11427_00001
LR134336.1,EMBL,gene,1520,2657,,+,,ID=gene-NCTC11427_00002;Name=dnaN;gbkey=Gene;gene=dnaN;gene_biotype=protein_coding;locus_tag=NCTC11427_00002,11,gene-NCTC11427_00002
LR134336.1,EMBL,gene,2721,2916,,+,,ID=gene-NCTC11427_00003;Name=NCTC11427_00003;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00003,13,gene-NCTC11427_00003
LR134336.1,EMBL,gene,3000,4116,,+,,ID=gene-NCTC11427_00004;Name=engD;gbkey=Gene;gene=engD;gene_biotype=protein_coding;locus_tag=NCTC11427_00004,15,gene-NCTC11427_00004
LR134336.1,EMBL,gene,4189,4759,,+,,ID=gene-NCTC11427_00005;Name=pth;gbkey=Gene;gene=pth;gene_biotype=protein_coding;locus_tag=NCTC11427_00005,17,gene-NCTC11427_00005
LR134336.1,EMBL,gene,4759,8263,,+,,ID=gene-NCTC11427_00006;Name=trcF;gbkey=Gene;gene=trcF;gene_biotype=protein_coding;locus_tag=NCTC11427_00006,19,gene-NCTC11427_00006
LR134336.1,EMBL,gene,8320,8587,,+,,ID=gene-NCTC11427_00007;Name=NCTC11427_00007;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00007,21,gene-NCTC11427_00007
LR134336.1,EMBL,gene,8579,8948,,+,,ID=gene-NCTC11427_00008;Name=NCTC11427_00008;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00008,23,gene-NCTC11427_00008
LR134336.1,EMBL,gene,8952,9075,,+,,ID=gene-NCTC11427_00009;Name=NCTC11427_00009;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00009,25,gene-NCTC11427_00009
LR134336.1,EMBL,gene,9067,10336,,+,,ID=gene-NCTC11427_00010;Name=NCTC11427_00010;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00010,27,gene-NCTC11427_00010
LR134336.1,EMBL,gene,10332,11610,,+,,ID=gene-NCTC11427_00011;Name=tilS;gbkey=Gene;gene=tilS;gene_biotype=protein_coding;locus_tag=NCTC11427_00011,29,gene-NCTC11427_00011
LR134336.1,EMBL,gene,11614,12157,,+,,ID=gene-NCTC11427_00012;Name=hgt;gbkey=Gene;gene=hgt;gene_biotype=protein_coding;locus_tag=NCTC11427_00012,31,gene-NCTC11427_00012
LR134336.1,EMBL,gene,12172,14131,,+,,ID=gene-NCTC11427_00013;Name=ftsH;gbkey=Gene;gene=ftsH;gene_biotype=protein_coding;locus_tag=NCTC11427_00013,33,gene-NCTC11427_00013
